name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,star_metallicity,detection_type,discovered
TOI-1408 c,Confirmed,0.0239,0.1981,2.1664,0.03587,0.1353,0.89,Primary Transit,2024-01-01
TOI-1416 b,Confirmed,0.01095,0.1445,1.0697564,0.019,0.0,0.08,Primary Transit,2023-01-01
TOI-1420 b,Confirmed,0.079,1.0608,6.9561063,0.071,0.17,0.29,Primary Transit,2023-01-01
TOI-1422 b,Confirmed,0.028,0.3533,12.9972,0.108,0.04,-0.09,Primary Transit,2022-01-01
TOI-1430 b,Confirmed,0.01306,0.1766,7.4341325,0.0706,0.0,-0.01,Primary Transit,2022-01-01
TOI-1431 b,Confirmed,3.14,1.508,2.65022,0.047,0.01,0.43,Primary Transit,2021-01-01
TOI-1448 b,Confirmed,0.0614,0.2453,8.112245,0.0567,0.36,0.37,Primary Transit,2024-01-01
TOI-1452 Ab,Confirmed,0.01517,0.14917,11.06201,0.061,0.0,-0.07,Primary Transit,2022-01-01
TOI-1470 b,Confirmed,0.02303,0.1945,2.527093,0.0285,0.3,0.0,Primary Transit,2023-01-01
TOI-1470 c,Confirmed,0.02278,0.2204,18.08816,0.106,0.5,0.0,Primary Transit,2023-01-01
TOI-1478 b,Confirmed,0.847,1.06,10.180249,0.0903,0.025,0.08,Primary Transit,2021-01-01
TOI-150 b,Confirmed,2.51,1.255,5.857487,0.0643,0.262,0.25,Primary Transit,2019-01-01
TOI-1518 b,Confirmed,2.3,1.875,1.902603,0.039,0.01,-0.1,Primary Transit,2021-01-01
TOI-157 b,Confirmed,1.18,1.286,2.0845435,0.0318,0.0,0.24,Primary Transit,2020-01-01
TOI-1601 b,Confirmed,0.99,1.239,5.331751,0.06864,0.036,0.329,Primary Transit,2021-01-01
TOI-1605 b,Confirmed,0.6963,0.9225,8.7099,0.08258,0.28,0.0,Primary Transit,2024-01-01
TOI-1634 Ab,Confirmed,0.01545,0.1597,0.989343,0.01545,0.16,0.23,Primary Transit,2021-01-01
TOI-163 b,Confirmed,1.22,1.489,4.231306,0.058,0.0,0.22,Primary Transit,2019-01-01
TOI-1670 b,Confirmed,0.0434,0.1838,10.98462,0.103,0.59,0.09,Primary Transit,2022-01-01
TOI-1670 c,Confirmed,0.58,0.97,40.7750145,0.249,0.067,0.09,Primary Transit,2022-01-01
TOI-1685 b,Confirmed,0.00966,0.1267,0.66813923,0.01164,0.0,-0.13,Primary Transit,2021-01-01
TOI-1695 b,Confirmed,0.0182,0.17,3.1342788,0.033548,0.1,0.0,Primary Transit,2022-01-01
TOI-1696 b,Confirmed,0.1787,0.2891,2.50031,0.0235,0.0,0.336,Primary Transit,2022-01-01
TOI-169 b,Confirmed,0.791,1.086,2.2554477,0.03524,0.0,0.24,Primary Transit,2020-01-01
TOI-1710 Ab,Confirmed,0.0579,0.4595,24.283385,0.164,0.185,0.1,Primary Transit,2022-01-01
TOI-1728 b,Confirmed,0.08426,0.4505,3.49151,0.0391,0.057,0.25,Primary Transit,2020-01-01
TOI-172 Ab,Confirmed,5.41,0.965,9.47721,0.0913,0.3805,0.146,Primary Transit,2019-01-01
TOI-1749 Ab,Confirmed,0.06,0.124,2.38839,0.0291,0.02,-0.26,Primary Transit,2021-01-01
TOI-1749 Ac,Confirmed,0.0066,0.1891,4.4929,0.0443,0.007,-0.26,Primary Transit,2021-01-01
TOI-1749 d,Confirmed,0.0135,0.2248,9.0497,0.0707,0.015,-0.26,Primary Transit,2021-01-01
TOI-1751 b,Confirmed,0.0538,0.2489,37.468489,0.2115,0.26,-0.5,Primary Transit,2024-01-01
TOI-1759 Ab,Confirmed,0.0214,0.273,18.849975,0.1176,0.0,0.2,Primary Transit,2022-01-01
TOI-1778 b,Confirmed,0.02637,0.24133,6.527282,0.072,0.23,0.18,Primary Transit,2024-01-01
TOI-179 Ab,Confirmed,0.0758,0.2436,4.1374386,0.0476,0.34,-0.05,Primary Transit,2019-01-01
TOI-1807 b,Confirmed,0.00809,0.1222,0.549374,0.012,0.0,-0.029,Primary Transit,2021-01-01
TOI-1811 b,Confirmed,0.974,1.0,3.7130818,0.04393,0.061,0.32,Primary Transit,2022-01-01
TOI-181 b,Confirmed,0.13,0.6183,4.53206,0.05578,0.19,0.272,Primary Transit,2022-01-01
TOI-1820 Ab,Confirmed,2.3,1.12,4.8607,0.069,0.043,0.14,Primary Transit,2022-01-01
TOI-1824 Ab,Confirmed,0.0582,0.2346,22.80857,0.149,0.0,0.05,Primary Transit,2024-01-01
TOI-1828 b,Confirmed,0.1841,0.769,9.0941045,0.08587,0.31,0.14,Primary Transit,2024-01-01
TOI-1836 Ab,Confirmed,0.092,0.78188,20.38084,0.1577,0.13,-0.098,Primary Transit,2024-01-01
TOI-1836 Ac,Confirmed,0.025,0.232,1.7727471,0.03089,0.0,-0.098,Primary Transit,2024-01-01
TOI-1885 b,Confirmed,1.6248,1.2187,6.54406,0.0728,0.04,0.03,Primary Transit,2024-01-01
TOI-1899 b,Confirmed,0.67,0.99,29.090312,0.1525,0.044,0.31,Primary Transit,2020-01-01
TOI-1937 Ab,Confirmed,2.01,1.247,0.94667944,0.01932,0.0,0.196,Primary Transit,2022-01-01
TOI-1994 b,Confirmed,22.1,1.22,4.0337142,0.0613,0.0341,-0.01,Primary Transit,2023-01-01
TOI-199 Ab,Confirmed,0.17,0.81,104.87236,0.48,0.09,0.22,Primary Transit,2023-01-01
TOI-2000 b,Confirmed,0.0324,0.2355,3.098331,0.0426,0.0,0.438,Primary Transit,2022-01-01
TOI-2000 c,Confirmed,0.2382,0.711,9.1270553,0.0875,0.064,0.438,Primary Transit,2022-01-01
TOI-2010 Ab,Confirmed,1.286,1.054,141.834025,0.5516,0.212,0.17,Primary Transit,2023-01-01
TOI-2015 b,Confirmed,0.0289,0.2953,3.348237,0.0293,0.079,0.05,Primary Transit,2023-01-01
TOI-2019 b,Confirmed,0.1089,0.505,15.3444,0.1203,0.09,0.41,Primary Transit,2024-01-01
TOI-201 b,Confirmed,0.42,1.0,52.97818,0.3,0.28,0.24,Primary Transit,2021-01-01
TOI-2025 b,Confirmed,4.4,1.12,8.872086,0.089,0.44,0.18,Primary Transit,2022-01-01
TOI-2045 b,Confirmed,0.6639,1.1316,9.077534,0.093,0.0,0.072,Primary Transit,2024-01-01
TOI-2120 b,Confirmed,0.0214,0.18931,5.7998164,0.0377,0.32,0.39,Primary Transit,2024-01-01
TOI-2136 b,Confirmed,0.0148,0.1865,7.85191,0.054,0.07,0.03,Primary Transit,2022-01-01
TOI-2141 b,Confirmed,0.076,0.2721,18.26157,0.133,0.21,-0.12,Primary Transit,2023-01-01
TOI-2145 b,Confirmed,5.52,1.098,10.261131,0.11,0.22,0.245,Primary Transit,2022-01-01
TOI-2152 Ab,Confirmed,2.83,1.281,3.3773512,0.05064,0.057,0.28,Primary Transit,2022-01-01
TOI-2154 b,Confirmed,0.92,1.453,3.6240801,0.0513,0.117,0.011,Primary Transit,2022-01-01
TOI-2158 b,Confirmed,0.82,0.96,8.60077,0.074,0.031,0.47,Primary Transit,2022-01-01
TOI-216 b,Confirmed,0.0558,0.6861,17.0991,0.1293,0.161,-0.15,Primary Transit,2019-01-01
TOI-216 c,Confirmed,0.528,0.901,34.5507,0.2068,0.0062,-0.15,Primary Transit,2019-01-01
TOI-2180 b,Confirmed,2.755,1.01,260.158,0.828,0.368,0.253,Primary Transit,2022-01-01
TOI-2193 Ab,Confirmed,0.94,1.77,2.1225735,0.03319,0.0,0.027,Primary Transit,2022-01-01
TOI-2196 b,Confirmed,0.082,0.3131,1.1947268,0.02234,0.0,0.14,Primary Transit,2022-01-01
TOI-2202 b,Confirmed,0.978,1.0,11.9101,0.09564,0.042,0.04,Primary Transit,2021-01-01
TOI-2207 b,Confirmed,0.64,0.995,8.001968,0.0854,0.174,0.18,Primary Transit,2022-01-01
TOI-220 b,Confirmed,0.0428,0.2694,10.695264,0.0892,0.029,-0.217,Radial Velocity,2021-01-01
TOI-2257 b,Confirmed,0.0179,0.19574,35.189346,0.145,0.496,-0.27,Primary Transit,2021-01-01
TOI-2285 b,Confirmed,0.0614,0.1552,13.64,0.1363,0.3,-0.05,Primary Transit,2021-01-01
TOI-2295 b,Confirmed,0.875,1.47,30.033302,0.199,0.334,0.316,Primary Transit,2024-01-01
TOI-2338 b,Confirmed,5.98,1.0,22.65398,0.158,0.676,0.22,Primary Transit,2023-01-01
TOI-2364 b,Confirmed,0.225,0.768,4.0197517,0.04871,0.0,0.344,Primary Transit,2022-01-01
TOI-2373 b,Confirmed,9.3,0.93,13.33668,0.112,0.112,0.3,"Primary Transit, Radial Velocity",2023-01-01
TOI-2374 Bb,Confirmed,0.17821,0.607,4.31361,0.0471,0.13,0.15,Primary Transit,2024-01-01
TOI-2379 b,Confirmed,5.76,1.046,5.4693827,0.05263,0.342,0.5,Primary Transit,2024-01-01
TOI-2384 Ab,Confirmed,1.966,1.025,2.13570304,0.0279,0.0,0.332,Primary Transit,2024-01-01
TOI-238 c,Confirmed,0.0211,0.1945,8.465651,0.0749,0.36,-0.05,Primary Transit,2024-01-01
TOI-2406 b,Confirmed,0.0286,0.2623,3.0766896,0.0228,0.26,-0.38,Primary Transit,2021-01-01
TOI-2420 b,Confirmed,0.93,1.34,5.842641,0.0684,0.055,-0.18,Primary Transit,2024-01-01
TOI-2458 b,Confirmed,0.04188,0.2525,3.73659,0.0482,0.087,-0.1,Primary Transit,2024-01-01
TOI-2485 b,Confirmed,2.41,1.08,11.23479,0.109,0.034,0.12,Primary Transit,2024-01-01
TOI-2497 b,Confirmed,5.21,1.0,10.655661,0.1167,0.196,0.094,Primary Transit,2022-01-01
TOI-2498 b,Confirmed,0.10893,0.5406,3.738252,0.0491,0.089,0.167,Primary Transit,2023-01-01
TOI-251 b,Confirmed,1.0,0.2444,4.93777,0.05741,0.0,-0.106,Primary Transit,2020-01-01
TOI-2524 b,Confirmed,0.64,1.0,7.18585,0.073,0.0,0.06,"Primary Transit, Radial Velocity",2023-01-01
TOI-2525 b,Confirmed,0.084,0.774,23.2856,0.1511,0.17,0.14,Primary Transit,2022-01-01
TOI-2525 c,Confirmed,0.657,0.904,49.2519,0.249,0.157,0.14,Primary Transit,2022-01-01
TOI-2537 b,Confirmed,1.3,1.0,94.1022,0.3715,0.364,0.08,Primary Transit,2024-01-01
TOI-257 b,Confirmed,0.134,0.626,18.38827,0.1523,0.24,0.19,Primary Transit,2020-01-01
TOI-2580 Ab,Confirmed,0.63,1.55,3.39775,0.048,0.08,0.08,Primary Transit,2024-01-01
TOI-2583 Ab,Confirmed,0.25,1.29,4.5207265,0.0571,0.0,0.158,Primary Transit,2022-01-01
TOI-2587 Ab,Confirmed,0.218,1.077,5.45664,0.0635,0.0,0.13,Primary Transit,2022-01-01
TOI-2589 b,Confirmed,3.5,1.08,61.6277,0.3,0.522,0.12,Primary Transit,2023-01-01
TOI-260 b,Confirmed,0.02961,0.1454,13.47583,0.0943,0.68,-0.47,Primary Transit,2024-01-01
TOI-269 b,Confirmed,0.0277,0.2471,3.6977104,0.0345,0.425,-0.29,Primary Transit,2021-01-01
TOI-270 b,Confirmed,0.00466,0.11125,3.35992,0.0306,0.0167,-0.17,Primary Transit,2019-01-01
TOI-270 c,Confirmed,0.0195,0.2079,5.66051,0.0472,0.0044,-0.17,Primary Transit,2019-01-01
TOI-270 d,Confirmed,0.0132,0.19,11.38014,0.0733,0.0044,-0.17,Primary Transit,2019-01-01
TOI-2714 b,Confirmed,0.717,1.224,2.499387,0.036,0.164,0.3,Primary Transit,2024-01-01
TOI-2796 b,Confirmed,0.44,1.59,4.8084983,0.04089,0.0,0.239,Primary Transit,2022-01-01
TOI-2803 Ab,Confirmed,0.975,1.616,1.96229325,0.03185,0.0,-0.105,Primary Transit,2022-01-01
TOI-2818 b,Confirmed,0.71,1.363,4.039709,0.0493,0.0,-0.02,Primary Transit,2022-01-01
TOI-2842 b,Confirmed,0.37,1.146,3.5514058,0.0475,0.0,0.233,Primary Transit,2022-01-01
TOI-2844 b,Confirmed,54.0,0.775,3.5524204,0.0537,0.42,0.06,Primary Transit,2024-01-01
TOI-286 b,Confirmed,0.01425,0.1267,4.5117244,0.0503,0.0,-0.05,Primary Transit,2024-01-01
TOI-286 c,Confirmed,0.0117,0.1677,39.361826,0.213,0.0,-0.05,Primary Transit,2024-01-01
TOI-2977 Ab,Confirmed,1.68,1.174,2.3505614,0.03386,0.0,0.013,Primary Transit,2022-01-01
TOI-2981 b,Confirmed,2.007,1.195,3.601501,0.048,0.035,-0.11,Primary Transit,2024-01-01
TOI-3023 b,Confirmed,0.62,1.466,3.9014971,0.0505,0.0,0.085,Primary Transit,2022-01-01
TOI-3071 b,Confirmed,0.2146,0.6388,1.266918,0.0249,0.1,0.35,Primary Transit,2024-01-01
TOI-3235 Ab,Confirmed,0.665,1.017,2.59261842,0.02709,0.029,0.264,Primary Transit,2023-01-01
TOI-3261 b,Confirmed,0.0953,0.3408,0.8831331,0.01714,0.0,0.14,Primary Transit,2024-01-01
TOI-329 b,Confirmed,0.1271,0.4211,5.70439,0.0638,0.39,-0.11,Primary Transit,2024-01-01
TOI-3321 Ab,Confirmed,0.554,1.39,3.6525145,0.047,0.054,-0.103,Primary Transit,2024-01-01
TOI-332 b,Confirmed,0.18,0.285,0.777038,0.0159,0.0,0.26,Primary Transit,2023-01-01
TOI-3362 b,Confirmed,4.0,1.2,18.095367,0.155,0.72,0.017,Primary Transit,2021-01-01
TOI-3364 b,Confirmed,1.67,1.091,5.8768918,0.0675,0.0,0.387,Primary Transit,2022-01-01
TOI-3568 b,Confirmed,0.083,0.473,4.417965,0.0485,0.035,-0.01,Primary Transit,2024-01-01
TOI-3577 b,Confirmed,53.8,1.0,5.266759,0.0623,0.006,-0.03,Primary Transit,2025-01-01
TOI-3629 b,Confirmed,0.26,0.74,3.9365578,0.043,0.05,0.4,Primary Transit,2022-01-01
TOI-3688 Ab,Confirmed,0.98,1.167,3.246075,0.0456,0.0,0.262,Primary Transit,2022-01-01
TOI-3714 Ab,Confirmed,0.689,0.994,2.15484802,0.0263,0.03,0.1,Primary Transit,2022-01-01
TOI-3757 b,Confirmed,0.2684,1.07,3.438753,0.03845,0.14,0.0,Primary Transit,2022-01-01
TOI-3785 b,Confirmed,0.04704,0.4586,4.6747373,0.043,0.11,0.1,Primary Transit,2023-01-01
TOI-3807 b,Confirmed,1.04,2.0,2.8989727,0.0421,0.0,0.278,Primary Transit,2022-01-01
TOI-3819 b,Confirmed,1.11,1.172,3.2443141,0.04611,0.0,0.273,Primary Transit,2022-01-01
TOI-3884 b,Confirmed,0.0519,0.5629,4.5445697,0.0354,0.32,0.23,Primary Transit,2022-01-01
TOI-3912 b,Confirmed,0.406,1.274,3.4936264,0.0463,0.0,0.187,Primary Transit,2022-01-01
TOI-396A b,Confirmed,0.01117,0.178,3.585287,0.0489,0.3,-0.14,Primary Transit,2019-01-01
TOI-396A c,Confirmed,0.0028,0.1766,5.973865,0.0687,0.19,-0.14,Primary Transit,2019-01-01
TOI-396A d,Confirmed,0.0223,0.18,11.230511,0.1046,0.28,-0.14,Primary Transit,2019-01-01
TOI-3976 b,Confirmed,0.175,1.095,6.607662,0.0743,0.0,0.182,Primary Transit,2022-01-01
TOI-4010 b,Confirmed,0.035,0.2694,1.348335,0.0229,0.03,0.315,Primary Transit,2023-01-01
TOI-4010 c,Confirmed,0.0639,0.529,5.414654,0.058,0.03,0.315,Primary Transit,2023-01-01
TOI-4010 d,Confirmed,0.12003,0.5513,14.70886,0.113,0.07,0.315,Primary Transit,2023-01-01
TOI-402 Ac,Confirmed,0.02136,0.22536,17.180546,0.1235,0.096,0.03,Primary Transit,2019-01-01
TOI-4087 b,Confirmed,0.73,1.164,3.1774835,0.04469,0.0,0.237,Primary Transit,2022-01-01
TOI-4145 Ab,Confirmed,0.43,1.187,4.0664428,0.04823,0.0,0.168,Primary Transit,2022-01-01
TOI-4201 b,Confirmed,2.589,1.133,3.5819111,0.03939,0.069,0.3,Primary Transit,2023-01-01
TOI-421 Ac,Confirmed,0.0444,0.4541,16.067541,0.117,0.19,-0.02,Primary Transit,2020-01-01
TOI-431 b,Confirmed,0.00966,0.1142,0.490047,0.0113,0.0,0.2,Primary Transit,2021-01-01
TOI-431 d,Confirmed,0.0311,0.2935,12.46103,0.098,0.0,0.2,Primary Transit,2021-01-01
TOI-4377 b,Confirmed,0.957,1.35,4.378081,0.0579,0.045,0.2,Primary Transit,2023-01-01
TOI-4379 b,Confirmed,1.113,1.489,3.25352,0.0477,0.018,0.16,Primary Transit,2024-01-01
TOI-4438 b,Confirmed,0.017,0.2248,7.44628,0.0534,0.14,-0.19,Primary Transit,2024-01-01
TOI-4463 Ab,Confirmed,0.794,1.183,2.8807198,0.04035,0.0,0.25,Primary Transit,2022-01-01
TOI-4515 b,Confirmed,2.0,1.09,15.266446,0.118,0.46,0.1,Primary Transit,2023-01-01
TOI-4551 b,Confirmed,1.49,1.06,9.95581,0.0994,0.1,0.23,Primary Transit,2023-01-01
TOI-4603 b,Confirmed,12.89,1.042,7.24599,0.0888,0.325,-0.236,Primary Transit,2023-01-01
TOI-4641 b,Confirmed,3.87,0.73,22.09341,0.173,0.074,-0.09,Primary Transit,2023-01-01
TOI-469 b,Confirmed,0.0186,0.3105,13.63083,0.107,0.0,0.24,Primary Transit,2019-01-01
TOI-4776 b,Confirmed,32.0,1.02,10.413815,0.0962,0.014,-0.05,Primary Transit,2025-01-01
TOI-4791 b,Confirmed,2.31,1.11,4.28088,0.0555,0.0,0.207,Primary Transit,2022-01-01
TOI-481 b,Confirmed,1.53,0.99,10.33111,0.097,0.153,0.26,Primary Transit,2020-01-01
TOI-4860 b,Confirmed,0.67,0.756,1.5227596,0.0185,0.047,0.3,Primary Transit,2021-01-01
TOI-4914 b,Confirmed,0.714,1.1482,10.60057,0.098,0.41,-0.13,Primary Transit,2024-01-01
TOI-4987 b,Confirmed,12.37,1.93,4.2889731,0.0656,0.07,-0.34,Primary Transit,2024-01-01
TOI-4994 b,Confirmed,0.28,0.762,21.491984,0.1515,0.319,0.165,Primary Transit,2024-01-01
TOI-5005 b,Confirmed,0.1029,0.5576,6.3085044,0.06614,0.0,0.15,Primary Transit,2024-01-01
TOI-5108 b,Confirmed,0.101,0.589,6.753581,0.073,0.0,0.2,Primary Transit,2025-01-01
TOI-5110 b,Confirmed,2.9,1.069,30.158577,0.2157,0.745,0.067,Primary Transit,2024-01-01
TOI-5153 b,Confirmed,3.26,1.06,20.33003,0.158,0.09,0.12,Primary Transit,2022-01-01
TOI-5205 b,Confirmed,1.08,0.94,1.630731,0.0195,0.02,0.0,Primary Transit,2022-01-01
TOI-5218 b,Confirmed,0.799,0.879,4.291452,0.0469,0.0,0.41,Primary Transit,2024-01-01
TOI-530 b,Confirmed,0.4,0.83,6.387597,0.052,0.0,0.376,Primary Transit,2021-01-01
TOI-532 b,Confirmed,0.1935,0.5192,2.32666508,0.0296,0.0,0.38,Primary Transit,2021-01-01
TOI-5344 b,Confirmed,0.42,0.87,3.792622,0.04,0.06,0.425,Primary Transit,2023-01-01
TOI-5422 b,Confirmed,27.7,0.815,5.377219,0.0616,0.0942,-0.007,Primary Transit,2025-01-01
TOI-5542 b,Confirmed,1.32,1.009,75.12375,0.332,0.018,-0.31,Primary Transit,2022-01-01
TOI-558 b,Confirmed,3.61,1.086,14.574071,0.1291,0.298,-0.004,Primary Transit,2021-01-01
TOI-559 b,Confirmed,6.01,1.091,6.9839095,0.0723,0.15,-0.069,Primary Transit,2021-01-01
TOI-5610 b,Confirmed,40.4,0.887,7.95346,0.0647,0.354,-0.42,Primary Transit,2025-01-01
TOI-5616 b,Confirmed,0.802,0.961,2.002849,0.0272,0.0,0.14,Primary Transit,2024-01-01
TOI-561 b,Confirmed,0.00636,0.12463,0.4465697,0.01064,0.0,-0.4,Primary Transit,2020-01-01
TOI-561 c,Confirmed,0.01866,0.2556,10.778838,0.0889,0.23,-0.4,Primary Transit,2020-01-01
TOI-561 d,Confirmed,0.04194,0.2333,25.71268,0.1587,0.11,-0.4,Primary Transit,2020-01-01
TOI-561 e,Confirmed,0.039,0.22455,77.144,0.33,0.074,-0.4,Primary Transit,2020-01-01
TOI-561 f,Confirmed,0.0601,0.207,433.0,1.034,0.08,-0.4,Primary Transit,2020-01-01
TOI-5634 Ab,Confirmed,0.576,0.923,2.2035373,0.0272,0.0,-0.27,Primary Transit,2024-01-01
TOI-564 Ab,Confirmed,1.463,1.02,1.651144,0.02734,0.072,0.15,Primary Transit,2019-01-01
TOI-5678 b,Confirmed,0.063,0.438,47.73022,0.249,0.14,0.0,Primary Transit,2023-01-01
TOI-5688 Ab,Confirmed,0.39,0.919,2.94815527,0.03379,0.128,0.47,Primary Transit,2024-01-01
TOI-5786 b,Confirmed,0.23,0.7708,12.779107,0.114,0.0,0.08,Primary Transit,2025-01-01
TOI-6016 b,Confirmed,1.17,1.22,4.023687,0.055,0.0,0.21,Primary Transit,2024-01-01
TOI-6029 b,Confirmed,1.635,1.284,5.7987,0.0731,0.091,0.37,Primary Transit,2024-01-01
TOI-6034 Bb,Confirmed,0.798,1.063,2.576184,0.02949,0.04,-0.09,Primary Transit,2023-01-01
TOI-603 b,Confirmed,0.1495,0.7075,16.17989,0.1281,0.22,0.176,Primary Transit,2024-01-01
TOI-6054 b,Confirmed,0.039,0.2364,7.501437,0.0763,0.16,0.07,Primary Transit,2025-01-01
TOI-6054 c,Confirmed,0.0289,0.25,12.56364,0.1,0.33,0.07,Primary Transit,2025-01-01
TOI-6130 b,Confirmed,1.05,1.28,2.392679,0.036,0.036,0.17,Primary Transit,2024-01-01
TOI-620 b,Confirmed,0.0485,0.3354,5.0988179,0.04825,0.19,0.35,Primary Transit,2022-01-01
TOI-6255 b,Confirmed,0.00453,0.09626,0.23818244,0.0054,0.0,-0.14,Primary Transit,2024-01-01
TOI-628 b,Confirmed,6.33,1.06,3.4095675,0.0486,0.07,0.26,Primary Transit,2021-01-01
TOI-6303 b,Confirmed,7.84,1.03,9.485236,0.076,0.02,0.44,Primary Transit,2024-01-01
TOI-6324 b,Confirmed,0.00368,0.09448,0.279221,0.00432,0.0,-0.32,Primary Transit,2024-01-01
TOI-6330 b,Confirmed,10.0,0.97,6.8500246,0.0576,0.34,0.08,Primary Transit,2024-01-01
TOI-6383 Ab,Confirmed,1.04,1.0072,1.79058695,0.02292,0.05,0.2,Primary Transit,2024-01-01
TOI-640 Ab,Confirmed,0.88,1.771,5.0037775,0.06608,0.05,0.174,Primary Transit,2021-01-01
TOI-6651 b,Confirmed,0.192,0.4541,5.056973,0.0633,0.09,0.2037,Primary Transit,2024-01-01
TOI-674 b,Confirmed,0.0739,0.4693,1.977143,0.0231,0.1,0.114,Primary Transit,2021-01-01
TOI-677 b,Confirmed,1.234,1.17,11.2365985,0.1038,0.46,0.0,Primary Transit,2019-01-01
TOI-6883 b,Confirmed,4.34,1.087,16.24921,0.129,0.6,0.32,Primary Transit,2024-01-01
